time,step,loss,perplexity
74,0,11.090120315551758,65520.62880008264
84,4,8.17609977722168,3554.9624415677263
87,5,7.663955211639404,2130.16604622535
98,9,7.028622627258301,1128.4752082566276
104,11,6.924049377441406,1016.4275712356688
112,14,6.503969669342041,667.787273077011
117,16,6.447599411010742,631.1852562737903
120,17,6.409367561340332,607.5093471432273
123,18,6.325905799865723,558.8638032256705
126,19,6.282785892486572,535.2778149979287
131,21,6.161115646362305,473.95654788404016
142,25,6.236651420593262,511.14403562491856
145,26,6.136815071105957,462.57794436316294
164,33,5.865439414978027,352.63707608117556
167,34,5.963798522949219,389.0852701040513
170,35,6.076812744140625,435.6384883026956
172,36,6.184866428375244,485.3481305407256
181,39,5.877849578857422,357.04062786839097
189,42,5.858560562133789,350.21966157908736
195,44,6.121814727783203,455.6908995401116
200,46,5.865595817565918,352.69223374574915
206,48,5.898928165435791,364.6464176980197
211,50,5.842316627502441,344.5766725442113
214,51,6.130814552307129,459.81054792289046
217,52,5.848046779632568,346.5568171451753
228,56,5.765865325927734,319.2151497038864
231,57,5.652863502502441,285.10670180581366
233,58,5.519701957702637,249.56064647604768
236,59,5.445508003234863,231.7149617683056
244,62,5.745939254760742,312.91739900220324
247,63,5.592309951782227,268.3547909380885
255,66,5.588766098022461,267.40546393484794
261,68,5.380621910095215,217.15728574671024
266,70,5.517195701599121,248.93596671333825
269,71,5.474827766418457,238.6093668455122
272,72,5.663809776306152,288.2447011942043
275,73,5.490583419799805,242.39858574669168
277,74,5.389787197113037,219.15674340364475
283,76,5.213438510894775,183.7247127424833
286,77,5.446073532104492,231.8460403295723
291,79,5.378801345825195,216.76229661195603
300,82,5.235052108764648,187.73888893089617
302,83,5.224013805389404,185.67796559396908
313,87,5.433530330657959,228.95611111304115
316,88,5.1508588790893555,172.5796517354981
324,91,5.125914096832275,168.32793938430095
330,93,5.017396450042725,151.01760962413545
333,94,5.111850738525391,165.97725128691792
338,96,5.431501865386963,228.4921523143077
346,99,4.582658767700195,97.77400730119574
349,100,4.7799882888793945,119.1029552075734
355,102,5.1008405685424805,164.15983691698304
363,105,4.842132568359375,126.73934405426532
369,107,5.485734939575195,241.2261655221094
371,108,4.802250385284424,121.78417068374112
396,117,4.663602352142334,106.01730676390392
399,118,5.237114906311035,188.12655595216972
407,121,4.722187042236328,112.41383782863922
413,123,4.935934066772461,139.20310682167238
418,125,4.736220836639404,114.00255228849014
424,127,4.818593502044678,123.79085669177806
446,135,4.651719093322754,104.76493155512884
449,136,4.361528396606445,78.37683381253551
454,138,4.36252498626709,78.45498228926105
457,139,4.7235541343688965,112.56762299722232
465,142,4.69734001159668,109.65510287148416
468,143,4.580921173095703,97.60426322954922
473,145,4.564765930175781,96.04011129339936
476,146,4.477117538452148,87.98070582515919
482,148,4.705053329467773,110.50417791933118
484,149,4.650394439697266,104.62624618403946
487,150,4.5385260581970215,93.55280705447944
493,152,4.504415512084961,90.41548184524348
495,153,4.367405891418457,78.83884966451186
498,154,4.136535167694092,62.585596745444214
504,156,4.747910022735596,115.34296826099757
506,157,4.543449401855469,94.01453536473078
512,159,4.470515251159668,87.40174526416587
520,162,4.495184898376465,89.58473152531991
523,163,4.565349578857422,96.09618133875271
531,166,4.317931175231934,75.03323698964653
534,167,4.365290641784668,78.67226206592241
542,170,4.300271511077881,73.71980672677911
545,171,4.261981010437012,70.95039780577183
548,172,4.217432975769043,67.85906465222963
550,173,4.126526832580566,61.96234318760235
553,174,4.267475128173828,71.3412804391523
556,175,4.38030481338501,79.86237281559984
561,177,4.412323951721191,82.4608760961774
581,184,4.21474552154541,67.67694135594321
583,185,4.301361083984375,73.80017360569677
589,187,4.541772365570068,93.85700170931852
594,189,4.111354827880859,61.02934584273739
603,192,4.30436897277832,74.02249050551669
