"total_training_time","baseline - train/loss","baseline - train/loss__MIN","baseline - train/loss__MAX","baseline - _step","baseline - _step__MIN","baseline - _step__MAX"
"25636.08589029312","2.9916113667050506","2.9916113667050506","2.9916113667050506","135","135","135"
"25903.208065509796","2.9233713264010253","2.9233713264010253","2.9233713264010253","136","136","136"
"26170.416080713272","3.0183844207959787","3.0183844207959787","3.0183844207959787","138","138","138"
"26437.57408452034","2.964823072972191","2.964823072972191","2.964823072972191","139","139","139"
"26704.370641708374","2.989260842692831","2.989260842692831","2.989260842692831","141","141","141"
"26971.27205634117","2.977958287782231","2.977958287782231","2.977958287782231","142","142","142"
"27238.301728487015","3.0006928515223144","3.0006928515223144","3.0006928515223144","143","143","143"
"27505.218151330948","2.943978909837456","2.943978909837456","2.943978909837456","145","145","145"
"27772.02372455597","2.8818818547801524","2.8818818547801524","2.8818818547801524","146","146","146"
"28038.983984470367","3.00897162450796","3.00897162450796","3.00897162450796","148","148","148"
"28305.980182647705","3.0008400828885984","3.0008400828885984","3.0008400828885984","149","149","149"
"28572.980590820312","2.9142939863233197","2.9142939863233197","2.9142939863233197","150","150","150"
"28839.818080425262","2.976709799999842","2.976709799999842","2.976709799999842","152","152","152"
"29106.727048158646","2.970280648762155","2.970280648762155","2.970280648762155","153","153","153"
"29373.673194408417","3.0049477944214438","3.0049477944214438","3.0049477944214438","155","155","155"
"29640.52224802971","2.9976027244007324","2.9976027244007324","2.9976027244007324","156","156","156"
"29907.344994068146","2.9486691854504485","2.9486691854504485","2.9486691854504485","157","157","157"
"30174.071210861206","2.927701835598806","2.927701835598806","2.927701835598806","159","159","159"
"30440.87646150589","2.9641743480202987","2.9641743480202987","2.9641743480202987","160","160","160"
"30707.8524787426","2.9532302227427145","2.9532302227427145","2.9532302227427145","162","162","162"
"30974.82382249832","2.969331760249724","2.969331760249724","2.969331760249724","163","163","163"
"31241.49658226967","2.9316411483785343","2.9316411483785343","2.9316411483785343","164","164","164"
"31508.418856859207","2.986472471784359","2.986472471784359","2.986472471784359","166","166","166"
"31775.336364746094","2.943470815087991","2.943470815087991","2.943470815087991","167","167","167"
"32042.156576871872","3.0000145117050296","3.0000145117050296","3.0000145117050296","169","169","169"
"32309.14203119278","2.9401615283010374","2.9401615283010374","2.9401615283010374","170","170","170"
"32576.026619195938","2.9569306185812745","2.9569306185812745","2.9569306185812745","171","171","171"
"32842.95222735405","2.9658372188600852","2.9658372188600852","2.9658372188600852","173","173","173"
"33110.070232868195","2.935498844493443","2.935498844493443","2.935498844493443","174","174","174"
"33376.823395729065","2.9657454748665586","2.9657454748665586","2.9657454748665586","176","176","176"
"33643.57214331627","2.9791106348723524","2.9791106348723524","2.9791106348723524","177","177","177"
"33910.640619039536","2.8505852992246834","2.8505852992246834","2.8505852992246834","178","178","178"
"34177.55223107338","2.955167184413999","2.955167184413999","2.955167184413999","180","180","180"
"34444.19977807999","2.963833593146542","2.963833593146542","2.963833593146542","181","181","181"
"34711.09881258011","2.912064790122125","2.912064790122125","2.912064790122125","183","183","183"
"34978.019292593","2.9215196154553214","2.9215196154553214","2.9215196154553214","184","184","184"
"35244.85187768936","2.9463401187782985","2.9463401187782985","2.9463401187782985","185","185","185"
"35511.80921769142","2.9619470789186098","2.9619470789186098","2.9619470789186098","187","187","187"
"35778.81978774071","2.988872913104058","2.988872913104058","2.988872913104058","188","188","188"
"36045.90066790581","2.8565710876801926","2.8565710876801926","2.8565710876801926","190","190","190"
"36313.19003844261","2.912601915475336","2.912601915475336","2.912601915475336","191","191","191"
"36580.19888329506","2.960186416429023","2.960186416429023","2.960186416429023","192","192","192"
"36846.97344493866","2.8567398859052493","2.8567398859052493","2.8567398859052493","194","194","194"
"37114.07301688194","2.8692893905485435","2.8692893905485435","2.8692893905485435","195","195","195"
"37380.97058200836","2.91105447488212","2.91105447488212","2.91105447488212","197","197","197"
"37647.72352027893","2.9027246611514177","2.9027246611514177","2.9027246611514177","198","198","198"
"37914.35142803192","2.889206843683662","2.889206843683662","2.889206843683662","199","199","199"
"38181.27993440628","2.949077699575847","2.949077699575847","2.949077699575847","201","201","201"
"38448.01277565956","2.890282406181398","2.890282406181398","2.890282406181398","202","202","202"
"38714.84057354927","2.900576641662506","2.900576641662506","2.900576641662506","204","204","204"
"38981.549416303635","2.9463061227276457","2.9463061227276457","2.9463061227276457","205","205","205"
"39248.27512431145","2.9083287810893736","2.9083287810893736","2.9083287810893736","206","206","206"
"39514.96922636032","2.8233486351905044","2.8233486351905044","2.8233486351905044","208","208","208"
"39781.72058367729","2.841197001142687","2.841197001142687","2.841197001142687","209","209","209"
"40048.41177821159","2.914412466474877","2.914412466474877","2.914412466474877","211","211","211"
"40315.250146627426","2.889825022737538","2.889825022737538","2.889825022737538","212","212","212"
"40582.211933374405","2.870392965854267","2.870392965854267","2.870392965854267","213","213","213"
"40848.83746433258","2.907841512217448","2.907841512217448","2.907841512217448","215","215","215"
"41115.737210989","2.852589444386672","2.852589444386672","2.852589444386672","216","216","216"
"41382.57462191582","2.854995982846952","2.854995982846952","2.854995982846952","218","218","218"
"41649.4192712307","2.884781205796962","2.884781205796962","2.884781205796962","219","219","219"
"41916.412380218506","2.8323528389547743","2.8323528389547743","2.8323528389547743","220","220","220"
"42183.265320301056","2.8228191247173546","2.8228191247173546","2.8228191247173546","222","222","222"
