time,step,loss,perplexity
17155,5778,2.907658338546753,18.31386344878332
17158,5779,2.9538748264312744,19.180129599237187
17163,5785,2.979418992996216,19.676381207758755
17166,5786,2.866205930709839,17.570228912426526
17169,5787,3.050358772277832,21.122921381876505
17174,5792,2.8909220695495605,18.00990833584741
17177,5793,3.0760555267333984,21.672746005352906
17180,5794,3.0247507095336914,20.588871462020037
17182,5795,3.262535333633423,26.11566520309678
17185,5800,2.989518165588379,19.876103193444788
17188,5801,3.18558120727539,24.18133869236189
17193,5807,3.017098903656006,20.431930620520276
17196,5808,3.0442185401916504,20.993619121448504
17199,5809,3.1617887020111084,23.612794430430583
17202,5810,3.0251407623291016,20.596903775299428
17204,5814,2.939612865447998,18.90852475187315
17207,5815,2.9260523319244385,18.653845762272777
17210,5816,3.1670331954956055,23.73695687695509
17213,5817,2.8877220153808594,17.95236776916743
17215,5822,3.226766586303711,25.198049388513247
17218,5823,2.9184842109680176,18.513204069201308
17221,5824,2.9083919525146484,18.327303684184905
17224,5829,2.999561309814453,20.076727527706975
17226,5830,2.560185432434082,12.93821625804874
17229,5831,3.303398609161377,27.2049409440891
17232,5832,3.0998826026916504,22.19534545467183
17235,5836,2.9010109901428223,18.192528542303275
17237,5837,3.3501033782958984,28.50568036011045
17240,5838,3.0722784996032715,21.59104185223996
17243,5839,3.1797657012939453,24.041120088804774
17246,5844,3.181573390960694,24.08461827693389
17248,5845,3.136140823364258,23.0148767802075
17251,5846,2.629091739654541,13.861174627845724
17254,5851,2.906998634338379,18.30178570030335
17257,5852,2.9100732803344727,18.358143808646037
17260,5853,2.863442897796631,17.521748798566854
17262,5854,2.9910383224487305,19.90634096532656
17265,5858,3.097292900085449,22.13794047369924
17268,5859,2.891672372817993,18.02342629958799
17271,5860,2.9158360958099365,18.464243827671073
17273,5865,3.0165815353393555,20.42136252100488
17276,5866,3.1389341354370117,23.079254384881427
17279,5867,3.1653566360473633,23.697193799526097
17282,5868,3.078805923461914,21.732436703986675
17284,5873,2.9899797439575195,19.885279690415015
17287,5874,3.018187999725342,20.454195077713724
17293,5876,3.229622602462769,25.270118290730423
17295,5880,3.1407735347747803,23.12174541712114
17298,5881,3.0079874992370605,20.24661257346788
17301,5882,3.0034756660461426,20.155469001765898
17304,5887,3.033815860748291,20.77636122273401
17306,5888,2.902146816253662,18.21320383078731
17309,5889,2.9825005531311035,19.737108679309426
17312,5890,3.0386054515838623,20.876110179699825
17315,5895,3.2833011150360107,26.663647345083284
17318,5896,2.975180149078369,19.59315262006688
17320,5897,2.9502241611480713,19.11023702081032
17326,5902,2.993924140930176,19.96387002126376
17329,5903,2.7035627365112305,14.932838835512957
17331,5904,3.0245168209075928,20.584056522262635
17334,5909,2.6609957218170166,14.31053131510162
17337,5910,3.0326004028320312,20.75112377065225
17340,5911,2.90032958984375,18.18013637040797
17342,5912,3.204857349395752,24.65198314532872
17345,5917,2.745150566101074,15.566957611853994
17348,5918,3.0120139122009277,20.328298136355595
17351,5919,3.075416326522827,21.658897208091215
17353,5923,3.0112998485565186,20.313787619036713
