point_time,CAISO_NORTH,SPP_TX,NEM_SA,DE
2026-01-11 17:00:00+00:00,463.57102399999997,617.7923040000001,833.2938631999999,721.1659208
2026-01-11 17:05:00+00:00,68.945984,631.853656,833.2938631999999,720.7576879999999
2026-01-11 17:10:00+00:00,63.95647199999999,631.853656,833.2938631999999,720.7576879999999
2026-01-11 17:15:00+00:00,64.410064,631.853656,833.2938631999999,720.3948144000001
2026-01-11 17:20:00+00:00,45.812792,634.575208,833.2938631999999,720.7123288
2026-01-11 17:25:00+00:00,45.812792,635.0287999999999,833.2938631999999,720.7123288
2026-01-11 17:30:00+00:00,45.359199999999994,635.0287999999999,852.1632903999999,721.3019984
2026-01-11 17:35:00+00:00,45.359199999999994,635.0287999999999,852.1632903999999,721.3019984
2026-01-11 17:40:00+00:00,45.359199999999994,635.935984,852.1632903999999,721.3019984
2026-01-11 17:45:00+00:00,45.812792,638.6575359999999,852.1632903999999,719.2608344
2026-01-11 17:50:00+00:00,45.812792,635.482392,852.1632903999999,759.4944448000001
2026-01-11 17:55:00+00:00,45.359199999999994,640.018312,853.9322991999999,759.4944448000001
2026-01-11 18:00:00+00:00,78.01782399999999,630.946472,865.9978464000001,759.6305224
2026-01-11 18:05:00+00:00,78.01782399999999,640.471904,865.9978464000001,759.6305224
2026-01-11 18:10:00+00:00,78.01782399999999,642.7398639999999,865.9978464000001,759.6305224
2026-01-11 18:15:00+00:00,80.285784,633.668024,865.9978464000001,741.3054056
2026-01-11 18:20:00+00:00,80.285784,634.1216159999999,865.9978464000001,741.3054056
2026-01-11 18:25:00+00:00,85.275296,644.554232,865.9978464000001,741.3054056
2026-01-11 18:30:00+00:00,85.728888,643.6470479999999,869.3544271999999,741.1239688000001
2026-01-11 18:35:00+00:00,73.935496,643.6470479999999,867.5400591999999,741.1239688000001
2026-01-11 18:40:00+00:00,68.945984,633.214432,867.5400591999999,741.1239688000001
2026-01-11 18:45:00+00:00,68.945984,634.1216159999999,867.5400591999999,741.1239688000001
2026-01-11 18:50:00+00:00,67.585208,633.214432,867.5400591999999,741.8043568
2026-01-11 18:55:00+00:00,68.945984,621.874632,867.5400591999999,741.8043568
2026-01-11 19:00:00+00:00,93.43995199999999,622.7818159999999,860.2825872,741.7589976
2026-01-11 19:05:00+00:00,458.581512,648.6365599999999,905.596428,741.4868424
2026-01-11 19:10:00+00:00,457.674328,643.6470479999999,905.596428,741.4868424
2026-01-11 19:15:00+00:00,458.12791999999996,643.6470479999999,905.596428,741.0786095999999
2026-01-11 19:20:00+00:00,97.068688,650.450928,905.596428,741.1239688000001
2026-01-11 19:25:00+00:00,97.068688,648.6365599999999,888.2692136,741.1239688000001
2026-01-11 19:30:00+00:00,83.91452000000001,648.6365599999999,879.741684,741.6682792
2026-01-11 19:35:00+00:00,83.460928,649.997336,879.741684,742.9383368
2026-01-11 19:40:00+00:00,83.460928,650.450928,879.741684,742.9383368
2026-01-11 19:45:00+00:00,83.460928,651.358112,875.7500744,741.7136383999999
2026-01-11 19:50:00+00:00,83.460928,652.2652959999999,872.3027751999999,741.7136383999999
2026-01-11 19:55:00+00:00,83.460928,652.2652959999999,872.3027751999999,741.7136383999999
2026-01-11 20:00:00+00:00,91.171992,649.090152,879.9231208,741.7136383999999
2026-01-11 20:05:00+00:00,88.45044,641.379088,879.9231208,741.6682792
2026-01-11 20:10:00+00:00,93.43995199999999,643.193456,876.5665399999999,741.6682792
2026-01-11 20:15:00+00:00,93.43995199999999,643.193456,876.5665399999999,741.7589976
2026-01-11 20:20:00+00:00,80.285784,649.997336,876.5665399999999,741.7589976
2026-01-11 20:25:00+00:00,80.285784,649.997336,876.5665399999999,741.7589976
2026-01-11 20:30:00+00:00,80.285784,653.6260719999999,876.5665399999999,743.664084
2026-01-11 20:35:00+00:00,80.285784,652.2652959999999,879.9231208,743.664084
2026-01-11 20:40:00+00:00,80.285784,652.718888,884.0054488000001,743.664084
2026-01-11 20:45:00+00:00,80.285784,652.718888,884.0054488000001,742.3940264
2026-01-11 20:50:00+00:00,80.285784,648.182968,884.0054488000001,742.3940264
2026-01-11 20:55:00+00:00,70.30676,655.44044,884.0054488000001,742.3940264
2026-01-11 21:00:00+00:00,99.336648,654.5332559999999,943.8795928,741.4868424
2026-01-11 21:05:00+00:00,90.26480799999999,644.554232,943.8795928,741.4868424
2026-01-11 21:10:00+00:00,96.16150400000001,644.554232,943.8795928,741.4868424
2026-01-11 21:15:00+00:00,99.79024,645.9150080000001,943.8795928,746.1134808
2026-01-11 21:20:00+00:00,96.16150400000001,645.9150080000001,914.7589863999999,746.1134808
2026-01-11 21:25:00+00:00,81.192968,645.9150080000001,697.6244959999999,746.1134808
2026-01-11 21:30:00+00:00,80.285784,645.461416,456.9032216,746.1134808
2026-01-11 21:35:00+00:00,80.73937600000001,645.007824,149.4132048,746.1134808
2026-01-11 21:40:00+00:00,71.213944,645.461416,0.0,746.1134808
2026-01-11 21:45:00+00:00,71.667536,645.007824,0.0,748.2907223999999
2026-01-11 21:50:00+00:00,71.213944,645.461416,0.0,748.2907223999999
2026-01-11 21:55:00+00:00,71.213944,645.9150080000001,0.0,748.2907223999999
2026-01-11 22:00:00+00:00,68.03880000000001,643.6470479999999,0.0,748.7896736
2026-01-11 22:05:00+00:00,63.049288,648.6365599999999,0.0,748.7896736
2026-01-11 22:10:00+00:00,78.01782399999999,647.7293759999999,0.0,748.7896736
2026-01-11 22:15:00+00:00,78.01782399999999,646.822192,0.0,779.6792888
2026-01-11 22:20:00+00:00,63.049288,646.3686,0.0,779.6792888
