"time","bs8,tbs524288,seq2048 - client_1/train_loss","bs8,tbs524288,seq2048 - client_1/train_loss__MIN","bs8,tbs524288,seq2048 - client_1/train_loss__MAX","bs8,tbs524288,seq2048 - _step","bs8,tbs524288,seq2048 - _step__MIN","bs8,tbs524288,seq2048 - _step__MAX"
"36955","2.9720449447631836","2.9720449447631836","2.9720449447631836","14468","14468","14468"
"36957","3.0549659729003906","3.0549659729003906","3.0549659729003906","14469","14469","14469"
"36960","3.112635374069214","3.112635374069214","3.112635374069214","14474","14474","14474"
"36963","2.844569206237793","2.844569206237793","2.844569206237793","14475","14475","14475"
"36966","2.8695764541625977","2.8695764541625977","2.8695764541625977","14476","14476","14476"
"36968","2.877915382385254","2.877915382385254","2.877915382385254","14477","14477","14477"
"36971","2.6880698204040527","2.6880698204040527","2.6880698204040527","14481","14481","14481"
"36974","2.9181885719299316","2.9181885719299316","2.9181885719299316","14482","14482","14482"
"36977","2.9747612476348877","2.9747612476348877","2.9747612476348877","14483","14483","14483"
"36979","3.03293776512146","3.03293776512146","3.03293776512146","14484","14484","14484"
"36982","3.100308895111084","3.100308895111084","3.100308895111084","14489","14489","14489"
"36985","3.170198917388916","3.170198917388916","3.170198917388916","14490","14490","14490"
"36987","2.8663835525512695","2.8663835525512695","2.8663835525512695","14491","14491","14491"
"36990","2.992223024368286","2.992223024368286","2.992223024368286","14496","14496","14496"
"36993","2.88399338722229","2.88399338722229","2.88399338722229","14497","14497","14497"
"36996","2.823700428009033","2.823700428009033","2.823700428009033","14498","14498","14498"
"36998","2.8460001945495605","2.8460001945495605","2.8460001945495605","14499","14499","14499"
"37001","2.8633384704589844","2.8633384704589844","2.8633384704589844","14503","14503","14503"
"37004","3.0884969234466553","3.0884969234466553","3.0884969234466553","14504","14504","14504"
"37007","2.9923782348632812","2.9923782348632812","2.9923782348632812","14505","14505","14505"
"37009","2.798865556716919","2.798865556716919","2.798865556716919","14506","14506","14506"
"37012","3.0316338539123535","3.0316338539123535","3.0316338539123535","14511","14511","14511"
"37015","2.851799964904785","2.851799964904785","2.851799964904785","14512","14512","14512"
"37017","2.837010383605957","2.837010383605957","2.837010383605957","14513","14513","14513"
"37020","2.467543125152588","2.467543125152588","2.467543125152588","14517","14517","14517"
"37023","2.950155258178711","2.950155258178711","2.950155258178711","14518","14518","14518"
"37026","2.8837380409240723","2.8837380409240723","2.8837380409240723","14519","14519","14519"
"37028","2.9018077850341797","2.9018077850341797","2.9018077850341797","14520","14520","14520"
"37031","3.1253762245178223","3.1253762245178223","3.1253762245178223","14525","14525","14525"
"37034","2.85709547996521","2.85709547996521","2.85709547996521","14526","14526","14526"
"37037","2.7960093021392822","2.7960093021392822","2.7960093021392822","14527","14527","14527"
"37039","2.4700655937194824","2.4700655937194824","2.4700655937194824","14528","14528","14528"
"37042","3.123270034790039","3.123270034790039","3.123270034790039","14533","14533","14533"
"37045","2.8692984580993652","2.8692984580993652","2.8692984580993652","14534","14534","14534"
