"time","single - client_0/train_loss","single - client_0/train_loss__MIN","single - client_0/train_loss__MAX","single - _step","single - _step__MIN","single - _step__MAX"
"484","4.650394439697266","4.650394439697266","4.650394439697266","149","149","149"
"487","4.5385260581970215","4.5385260581970215","4.5385260581970215","150","150","150"
"493","4.504415512084961","4.504415512084961","4.504415512084961","152","152","152"
"495","4.367405891418457","4.367405891418457","4.367405891418457","153","153","153"
"498","4.136535167694092","4.136535167694092","4.136535167694092","154","154","154"
"504","4.747910022735596","4.747910022735596","4.747910022735596","156","156","156"
"506","4.543449401855469","4.543449401855469","4.543449401855469","157","157","157"
"512","4.470515251159668","4.470515251159668","4.470515251159668","159","159","159"
"520","4.495184898376465","4.495184898376465","4.495184898376465","162","162","162"
"523","4.565349578857422","4.565349578857422","4.565349578857422","163","163","163"
"531","4.317931175231934","4.317931175231934","4.317931175231934","166","166","166"
"534","4.365290641784668","4.365290641784668","4.365290641784668","167","167","167"
"542","4.300271511077881","4.300271511077881","4.300271511077881","170","170","170"
"545","4.261981010437012","4.261981010437012","4.261981010437012","171","171","171"
"548","4.217432975769043","4.217432975769043","4.217432975769043","172","172","172"
"550","4.126526832580566","4.126526832580566","4.126526832580566","173","173","173"
"553","4.267475128173828","4.267475128173828","4.267475128173828","174","174","174"
"556","4.38030481338501","4.38030481338501","4.38030481338501","175","175","175"
"561","4.412323951721191","4.412323951721191","4.412323951721191","177","177","177"
"581","4.21474552154541","4.21474552154541","4.21474552154541","184","184","184"
"583","4.301361083984375","4.301361083984375","4.301361083984375","185","185","185"
"589","4.541772365570068","4.541772365570068","4.541772365570068","187","187","187"
"594","4.111354827880859","4.111354827880859","4.111354827880859","189","189","189"
"603","4.30436897277832","4.30436897277832","4.30436897277832","192","192","192"
"608","4.142839431762695","4.142839431762695","4.142839431762695","194","194","194"
"614","4.048941612243652","4.048941612243652","4.048941612243652","196","196","196"
"617","4.0619306564331055","4.0619306564331055","4.0619306564331055","197","197","197"
"650","4.3396172523498535","4.3396172523498535","4.3396172523498535","209","209","209"
"655","4.09713077545166","4.09713077545166","4.09713077545166","211","211","211"
"661","4.125427722930908","4.125427722930908","4.125427722930908","213","213","213"
"683","4.309696197509766","4.309696197509766","4.309696197509766","221","221","221"
"685","4.01023530960083","4.01023530960083","4.01023530960083","222","222","222"
"688","4.108925819396973","4.108925819396973","4.108925819396973","223","223","223"
"691","4.01279354095459","4.01279354095459","4.01279354095459","224","224","224"
"694","4.214384078979492","4.214384078979492","4.214384078979492","225","225","225"
"696","3.791245937347412","3.791245937347412","3.791245937347412","226","226","226"
"699","3.916405200958252","3.916405200958252","3.916405200958252","227","227","227"
"705","3.971116065979004","3.971116065979004","3.971116065979004","229","229","229"
"707","4.039477348327637","4.039477348327637","4.039477348327637","230","230","230"
"716","4.041112899780273","4.041112899780273","4.041112899780273","233","233","233"
"718","3.955958127975464","3.955958127975464","3.955958127975464","234","234","234"
"721","3.6998047828674316","3.6998047828674316","3.6998047828674316","235","235","235"
"735","3.8655037879943848","3.8655037879943848","3.8655037879943848","240","240","240"
"743","3.833467960357666","3.833467960357666","3.833467960357666","243","243","243"
"746","3.989910840988159","3.989910840988159","3.989910840988159","244","244","244"
"751","3.9484243392944336","3.9484243392944336","3.9484243392944336","246","246","246"
"754","4.218837738037109","4.218837738037109","4.218837738037109","247","247","247"
"760","3.995713949203491","3.995713949203491","3.995713949203491","249","249","249"
"771","4.039585590362549","4.039585590362549","4.039585590362549","253","253","253"
"773","3.944765567779541","3.944765567779541","3.944765567779541","254","254","254"
"784","3.900968074798584","3.900968074798584","3.900968074798584","258","258","258"
"804","3.6974377632141113","3.6974377632141113","3.6974377632141113","265","265","265"
"809","3.947831630706787","3.947831630706787","3.947831630706787","267","267","267"
"815","4.002039909362793","4.002039909362793","4.002039909362793","269","269","269"
"823","4.079839706420898","4.079839706420898","4.079839706420898","272","272","272"
"826","3.822028160095215","3.822028160095215","3.822028160095215","273","273","273"
"834","3.8836112022399902","3.8836112022399902","3.8836112022399902","276","276","276"
