"time","2 client - client_0/train_loss","2 client - client_0/train_loss__MIN","2 client - client_0/train_loss__MAX","2 client - _step","2 client - _step__MIN","2 client - _step__MAX"
"279","5.644881248474121","5.644881248474121","5.644881248474121","139","139","139"
"281","5.451162338256836","5.451162338256836","5.451162338256836","144","144","144"
"284","5.399847984313965","5.399847984313965","5.399847984313965","145","145","145"
"287","5.190983772277832","5.190983772277832","5.190983772277832","146","146","146"
"290","5.174694538116455","5.174694538116455","5.174694538116455","147","147","147"
"292","5.433568000793457","5.433568000793457","5.433568000793457","152","152","152"
"295","5.467345237731934","5.467345237731934","5.467345237731934","153","153","153"
"298","5.335094451904297","5.335094451904297","5.335094451904297","154","154","154"
"303","4.970638751983643","4.970638751983643","4.970638751983643","159","159","159"
"306","5.194649696350098","5.194649696350098","5.194649696350098","160","160","160"
"309","5.17381477355957","5.17381477355957","5.17381477355957","161","161","161"
"312","5.339776992797852","5.339776992797852","5.339776992797852","166","166","166"
"314","5.214742660522461","5.214742660522461","5.214742660522461","167","167","167"
"317","5.185184478759766","5.185184478759766","5.185184478759766","168","168","168"
"320","5.3918232917785645","5.3918232917785645","5.3918232917785645","169","169","169"
"323","5.1235504150390625","5.1235504150390625","5.1235504150390625","173","173","173"
"325","5.233448028564453","5.233448028564453","5.233448028564453","174","174","174"
"328","5.501185417175293","5.501185417175293","5.501185417175293","175","175","175"
"331","5.100987911224365","5.100987911224365","5.100987911224365","180","180","180"
"336","4.984664440155029","4.984664440155029","4.984664440155029","182","182","182"
"339","5.069637775421143","5.069637775421143","5.069637775421143","183","183","183"
"342","5.597812652587891","5.597812652587891","5.597812652587891","187","187","187"
"345","5.2346601486206055","5.2346601486206055","5.2346601486206055","188","188","188"
"347","5.04123592376709","5.04123592376709","5.04123592376709","189","189","189"
"350","5.303013801574707","5.303013801574707","5.303013801574707","194","194","194"
"353","5.210855484008789","5.210855484008789","5.210855484008789","195","195","195"
"356","4.9602203369140625","4.9602203369140625","4.9602203369140625","196","196","196"
"358","5.096205234527588","5.096205234527588","5.096205234527588","197","197","197"
"361","5.303715229034424","5.303715229034424","5.303715229034424","202","202","202"
"364","5.234983921051025","5.234983921051025","5.234983921051025","203","203","203"
"367","4.949926853179932","4.949926853179932","4.949926853179932","204","204","204"
"369","5.0753984451293945","5.0753984451293945","5.0753984451293945","205","205","205"
"375","4.810269355773926","4.810269355773926","4.810269355773926","210","210","210"
"378","5.002931594848633","5.002931594848633","5.002931594848633","211","211","211"
"380","4.894150257110596","4.894150257110596","4.894150257110596","216","216","216"
"383","4.922502040863037","4.922502040863037","4.922502040863037","217","217","217"
"386","5.007129669189453","5.007129669189453","5.007129669189453","218","218","218"
"389","4.949540138244629","4.949540138244629","4.949540138244629","219","219","219"
"394","4.8535003662109375","4.8535003662109375","4.8535003662109375","224","224","224"
"400","4.989677429199219","4.989677429199219","4.989677429199219","226","226","226"
"402","4.763845443725586","4.763845443725586","4.763845443725586","231","231","231"
"405","4.83293342590332","4.83293342590332","4.83293342590332","232","232","232"
"408","4.811539649963379","4.811539649963379","4.811539649963379","233","233","233"
"411","4.674543857574463","4.674543857574463","4.674543857574463","238","238","238"
"413","4.656620979309082","4.656620979309082","4.656620979309082","239","239","239"
"416","4.725650787353516","4.725650787353516","4.725650787353516","240","240","240"
"419","4.826467514038086","4.826467514038086","4.826467514038086","241","241","241"
"422","4.227177619934082","4.227177619934082","4.227177619934082","245","245","245"
"424","4.792812824249268","4.792812824249268","4.792812824249268","246","246","246"
"427","4.916083812713623","4.916083812713623","4.916083812713623","247","247","247"
"430","4.539366245269775","4.539366245269775","4.539366245269775","248","248","248"
"433","4.674537181854248","4.674537181854248","4.674537181854248","253","253","253"
"438","4.850199222564697","4.850199222564697","4.850199222564697","255","255","255"
"441","4.6249799728393555","4.6249799728393555","4.6249799728393555","259","259","259"
"446","4.93012809753418","4.93012809753418","4.93012809753418","261","261","261"
"449","4.8063764572143555","4.8063764572143555","4.8063764572143555","262","262","262"
"452","4.700949192047119","4.700949192047119","4.700949192047119","267","267","267"
"455","4.481503486633301","4.481503486633301","4.481503486633301","268","268","268"
"457","4.778719902038574","4.778719902038574","4.778719902038574","269","269","269"
"460","4.603298187255859","4.603298187255859","4.603298187255859","274","274","274"
"463","4.615268707275391","4.615268707275391","4.615268707275391","275","275","275"
"466","4.62638521194458","4.62638521194458","4.62638521194458","276","276","276"
"468","4.790319919586182","4.790319919586182","4.790319919586182","277","277","277"
"471","4.39262056350708","4.39262056350708","4.39262056350708","281","281","281"
"474","4.577785015106201","4.577785015106201","4.577785015106201","282","282","282"
"479","4.576548099517822","4.576548099517822","4.576548099517822","284","284","284"
"482","4.8281941413879395","4.8281941413879395","4.8281941413879395","289","289","289"
"485","4.6534528732299805","4.6534528732299805","4.6534528732299805","290","290","290"
"488","4.696394443511963","4.696394443511963","4.696394443511963","291","291","291"
"490","4.515606880187988","4.515606880187988","4.515606880187988","295","295","295"
"493","4.393535614013672","4.393535614013672","4.393535614013672","296","296","296"
